,Index_dtools,Manufacturer[0],Model[0],Part_dtools,Cost_dtools,Price_dtools,Used_dtools,Match Ratio,Index[1],Manufacturer[1],Model[1],Part[1],Cost[1],Price[1],Used[1],Match,Keep,Model_dtools
0,404,CHIEF,,CMA100,98.82,183.0,False,100.0,15,CHIEF,CMA100,,98.82,210.0,False,False,True,CMA100
46,420,CHIEF,,FSR1U,38.34,71.0,False,100.0,389,CHIEF,FSR1U,,38.34,79.0,False,False,True,FSR1U
33,406,CHIEF,,CMA105,23.76,44.0,False,100.0,20,CHIEF,CMA105,,23.76,65.0,False,False,True,CMA105
1,405,CHIEF,,CMA101,11.61,21.5,False,100.0,17,CHIEF,CMA101,,11.61,32.2,False,False,True,CMA101
35,408,CHIEF,,CMA115,30.78,57.0,False,100.0,26,CHIEF,CMA115,,30.78,76.0,False,False,True,CMA115
36,409,CHIEF,,CMA115W,30.78,57.0,False,100.0,28,CHIEF,CMA115W,,30.78,76.0,False,False,True,CMA115W
37,410,CHIEF,,CMA372,32.4,60.0,False,100.0,57,CHIEF,CMA372,,32.4,87.0,False,False,True,CMA372
38,411,CHIEF,,CMS003,6.53,12.1,False,100.0,83,CHIEF,CMS003,,6.53,14.9,False,False,True,CMS003
39,412,CHIEF,,CMS006009,38.34,71.0,False,100.0,86,CHIEF,CMS006009,,38.34,81.0,False,False,True,CMS006009
40,413,CHIEF,,CMS009,19.22,35.6,False,100.0,89,CHIEF,CMS009,,19.22,41.0,False,False,True,CMS009
41,414,CHIEF,,CMS009012W,54.0,100.0,False,100.0,91,CHIEF,CMS009012W,,54.0,112.0,False,False,True,CMS009012W
42,415,CHIEF,,CMS012018,65.5,121.2963,False,100.0,94,CHIEF,CMS012018,,67.5,139.0,False,False,True,CMS012018
43,416,CHIEF,,CMS0203,79.92,148.0,False,100.0,101,CHIEF,CMS0203,,79.92,166.0,False,False,True,CMS0203
44,417,CHIEF,,FHB3034,5.89,10.9,False,100.0,310,CHIEF,FHB3034,,5.89,15.9,False,False,True,FHB3034
45,418,CHIEF,,FHB5147,7.02,13.0,False,100.0,336,CHIEF,FHB5147,,7.02,14.0,False,False,True,FHB5147
47,433,CHIEF,,ODMLA25,335.88,622.0,False,100.0,1181,CHIEF,ODMLA25,,335.88,685.0,False,False,True,ODMLA25
31,434,CHIEF,,PAC501B,150.66,279.0,False,100.0,1224,CHIEF,PAC501B,,150.66,318.0,False,False,True,PAC501B
48,421,CHIEF,,JWD210B,151.74,281.0,False,100.0,456,CHIEF,JWD210B,,151.74,318.0,False,False,True,JWD210B
49,422,CHIEF,,JWDSKVB,232.2,430.0,False,100.0,465,CHIEF,JWDSKVB,,232.2,459.0,False,False,True,JWDSKVB
50,423,CHIEF,,LSM1U,120.96,224.0,False,100.0,1012,CHIEF,LSM1U,,120.96,262.0,False,False,True,LSM1U
51,424,CHIEF,,LSTU,90.72,168.0,False,100.0,1014,CHIEF,LSTU,,90.72,202.0,False,False,True,LSTU
52,425,CHIEF,,LTM1U,170.1,315.0,False,100.0,1016,CHIEF,LTM1U,,170.1,339.0,False,False,True,LTM1U
53,426,CHIEF,,LTTU,120.96,224.0,False,100.0,1018,CHIEF,LTTU,,120.96,262.0,False,False,True,LTTU
54,427,CHIEF,,LVS1U,501.6,836.0,False,100.0,1025,CHIEF,LVS1U,,501.6,920.0,False,False,True,LVS1U
55,428,CHIEF,,MCM1U,152.28,282.0,False,100.0,1076,CHIEF,MCM1U,,152.28,317.0,False,False,True,MCM1U
56,429,CHIEF,,MTM1U,105.3,195.0,False,100.0,1148,CHIEF,MTM1U,,109.08,225.0,False,False,True,MTM1U
57,430,CHIEF,,MTMS1U,103.68,192.0,False,100.0,1150,CHIEF,MTMS1U,,103.68,214.0,False,False,True,MTMS1U
58,431,CHIEF,,MTTU,90.72,168.0,False,100.0,1153,CHIEF,MTTU,,90.72,202.0,False,False,True,MTTU
59,432,CHIEF,,MWRUB,293.22,543.0,False,100.0,1161,CHIEF,MWRUB,,293.22,603.0,False,False,True,MWRUB
60,465,CHIEF,,XTM1U,201.42,373.0,False,100.0,2834,CHIEF,XTM1U,,201.42,405.0,False,False,True,XTM1U
32,419,CHIEF,,FHBU,5.89,10.9,False,100.0,347,CHIEF,FHBU,,5.89,15.9,False,False,True,FHBU
34,407,CHIEF,,CMA110,36.72,68.0,False,100.0,22,CHIEF,CMA110,,36.72,88.0,False,False,True,CMA110
30,435,CHIEF,,PAC525,43.2,72.0,False,100.0,1226,CHIEF,PAC525,,43.2,83.0,False,False,True,PAC525
15,451,CHIEF,,TA502,117.72,218.0,False,100.0,2701,CHIEF,TA502,,117.72,251.0,False,False,True,TA502
2,437,CHIEF,,PAC526F,87.6,146.0,False,100.0,1242,CHIEF,PAC526F,,87.6,162.0,False,False,True,PAC526F
