,Index_dtools,Manufacturer[0],Model[0],Part_dtools,Cost_dtools,Price_dtools,Used_dtools,Match Ratio,Index[1],Manufacturer[1],Model[1],Part[1],Cost[1],Price[1],Used[1],Match,Keep,Model_dtools
10,4537,SONUS FABER,,SONETTO II (BLACK),1264.45,2299.0,False,43.333333333333336,11,SONUS FABER,PMK Pointed 5 pcs/pack,,$12 ,$30 ,False,False,True,SONETTO II (BLACK)
11,4538,SONUS FABER,,SONETTO II (WALNUT),1264.45,2299.0,False,42.0,25,SONUS FABER,,,$190 ,$475 ,False,False,True,SONETTO II (WALNUT)
7,4534,SONUS FABER,,OLYMPICA I (GLOSS BLACK),2860.0,5200.0,False,40.666666666666664,11,SONUS FABER,PMK Pointed 5 pcs/pack,,$12 ,$30 ,False,False,True,OLYMPICA I (GLOSS BLACK)
0,4527,SONUS FABER,,GRAVIS II (PIANO BLACK),824.45,1499.0,False,39.666666666666664,11,SONUS FABER,PMK Pointed 5 pcs/pack,,$12 ,$30 ,False,False,True,GRAVIS II (PIANO BLACK)
3,4530,SONUS FABER,,GRAVIS V (PIANO BLACK),2750.0,5000.0,False,39.333333333333336,11,SONUS FABER,PMK Pointed 5 pcs/pack,,$12 ,$30 ,False,False,True,GRAVIS V (PIANO BLACK)
1,4528,SONUS FABER,,GRAVIS II (WALNUT),824.45,1499.0,False,36.0,25,SONUS FABER,,,$190 ,$475 ,False,False,True,GRAVIS II (WALNUT)
6,4533,SONUS FABER,,OLYMPICA I - STAND,660.0,1200.0,False,35.666666666666664,25,SONUS FABER,,,$190 ,$475 ,False,False,True,OLYMPICA I - STAND
8,4535,SONUS FABER,,OLYMPICA I (WALNUT),3575.0,6500.0,False,35.333333333333336,25,SONUS FABER,,,$190 ,$475 ,False,False,True,OLYMPICA I (WALNUT)
4,4531,SONUS FABER,,GRAVIS V (RED),2750.0,5000.0,False,35.0,7,SONUS FABER,"SQ Grill 6""",,$18 ,$45 ,False,False,True,GRAVIS V (RED)
2,4529,SONUS FABER,,GRAVIS II (WHITE MATTE),824.45,1499.0,False,31.0,11,SONUS FABER,PMK Pointed 5 pcs/pack,,$12 ,$30 ,False,False,True,GRAVIS II (WHITE MATTE)
5,4532,SONUS FABER,,GRAVIS V (WENGE),2750.0,5000.0,False,30.333333333333332,7,SONUS FABER,"SQ Grill 6""",,$18 ,$45 ,False,False,True,GRAVIS V (WENGE)
12,4539,SONUS FABER,,SONETTO II (WHITE),1264.45,2299.0,False,29.333333333333332,7,SONUS FABER,"SQ Grill 6""",,$18 ,$45 ,False,False,True,SONETTO II (WHITE)
9,4536,SONUS FABER,,OLYMPICA I (WENGE),3575.0,6500.0,False,29.0,11,SONUS FABER,PMK Pointed 5 pcs/pack,,$12 ,$30 ,False,False,True,OLYMPICA I (WENGE)
